Linked article,Linked article,Day,Sales quantity,Sales value gross,Sales value net,,
381903,Milk Chocolate Digestives,29/03/2022,"43,733","21,426.96 GBP","17,855.80 GBP",,
381903,Milk Chocolate Digestives,30/03/2022,"42,941","21,038.14 GBP","17,531.78 GBP",,
381903,Milk Chocolate Digestives,31/03/2022,"52,205","25,578.33 GBP","21,315.27 GBP",,
381903,Milk Chocolate Digestives,01/04/2022,"59,090","28,952.33 GBP","24,126.94 GBP",,
381903,Milk Chocolate Digestives,02/04/2022,"51,568","25,266.08 GBP","21,055.07 GBP",,
381903,Milk Chocolate Digestives,03/04/2022,"35,408","17,348.24 GBP","14,456.87 GBP",,
381903,Milk Chocolate Digestives,04/04/2022,"49,480","24,241.85 GBP","20,201.54 GBP",,
381903,Milk Chocolate Digestives,05/04/2022,"40,572","19,878.11 GBP","16,565.09 GBP",,
381903,Milk Chocolate Digestives,06/04/2022,"39,669","19,435.34 GBP","16,196.12 GBP",,
381903,Milk Chocolate Digestives,07/04/2022,"50,039","24,516.47 GBP","20,430.39 GBP",,
381903,Milk Chocolate Digestives,08/04/2022,"62,123","30,436.89 GBP","25,364.07 GBP",,
381903,Milk Chocolate Digestives,09/04/2022,"59,136","28,974.01 GBP","24,145.01 GBP",,
381903,Milk Chocolate Digestives,10/04/2022,"40,306","19,748.76 GBP","16,457.30 GBP",,
381903,Milk Chocolate Digestives,11/04/2022,"57,606","28,224.97 GBP","23,520.81 GBP",,
381903,Milk Chocolate Digestives,12/04/2022,"50,405","24,696.44 GBP","20,580.37 GBP",,
381903,Milk Chocolate Digestives,13/04/2022,"49,350","24,178.90 GBP","20,149.08 GBP",,
381903,Milk Chocolate Digestives,14/04/2022,"63,978","31,347.32 GBP","26,122.77 GBP",,
381903,Milk Chocolate Digestives,15/04/2022,"55,850","27,364.19 GBP","22,803.49 GBP",,
381903,Milk Chocolate Digestives,16/04/2022,"51,750","25,355.51 GBP","21,129.59 GBP",,
381903,Milk Chocolate Digestives,17/04/2022,"2,203","1,079.47 GBP",899.56 GBP,,
381903,Milk Chocolate Digestives,18/04/2022,"43,046","21,089.88 GBP","17,574.90 GBP",,
381903,Milk Chocolate Digestives,19/04/2022,"48,559","23,792.23 GBP","19,826.86 GBP",,
381903,Milk Chocolate Digestives,20/04/2022,"40,444","19,816.18 GBP","16,513.48 GBP",,
381903,Milk Chocolate Digestives,21/04/2022,"43,819","21,470.16 GBP","17,891.80 GBP",,
381903,Milk Chocolate Digestives,22/04/2022,"51,429","25,198.34 GBP","20,998.62 GBP",,
381903,Milk Chocolate Digestives,23/04/2022,"48,360","23,694.61 GBP","19,745.51 GBP",,
381903,Milk Chocolate Digestives,24/04/2022,"28,916","14,168.11 GBP","11,806.76 GBP",,
381903,Milk Chocolate Digestives,25/04/2022,"37,591","18,417.01 GBP","15,347.51 GBP",,
381903,Milk Chocolate Digestives,26/04/2022,"29,554","14,480.80 GBP","12,067.33 GBP",,
381903,Milk Chocolate Digestives,27/04/2022,"31,889","15,625.45 GBP","13,021.21 GBP",,
381903,Milk Chocolate Digestives,28/04/2022,"43,566","21,346.25 GBP","17,788.54 GBP",,
381903,Milk Chocolate Digestives,29/04/2022,"63,011","30,874.00 GBP","25,728.33 GBP",,
381903,Milk Chocolate Digestives,30/04/2022,"59,460","29,133.69 GBP","24,278.08 GBP",,
381903,Milk Chocolate Digestives,01/05/2022,"38,597","18,911.90 GBP","15,759.92 GBP",,
381903,Milk Chocolate Digestives,02/05/2022,"44,477","21,792.18 GBP","18,160.15 GBP",,
381903,Milk Chocolate Digestives,03/05/2022,"52,019","25,487.55 GBP","21,239.63 GBP",,
381903,Milk Chocolate Digestives,04/05/2022,"45,140","22,117.06 GBP","18,430.88 GBP",,
381903,Milk Chocolate Digestives,05/05/2022,"47,938","23,488.00 GBP","19,573.33 GBP",,
381903,Milk Chocolate Digestives,06/05/2022,"57,508","28,177.63 GBP","23,481.36 GBP",,
381903,Milk Chocolate Digestives,07/05/2022,"55,683","27,282.65 GBP","22,735.54 GBP",,
381903,Milk Chocolate Digestives,08/05/2022,"36,549","17,907.86 GBP","14,923.22 GBP",,
381903,Milk Chocolate Digestives,09/05/2022,"48,001","23,518.27 GBP","19,598.56 GBP",,
381903,Milk Chocolate Digestives,10/05/2022,"39,277","19,243.36 GBP","16,036.13 GBP",,
381903,Milk Chocolate Digestives,11/05/2022,"37,331","18,290.29 GBP","15,241.91 GBP",,
381903,Milk Chocolate Digestives,12/05/2022,"44,340","21,724.64 GBP","18,103.87 GBP",,
381903,Milk Chocolate Digestives,13/05/2022,"54,958","26,928.02 GBP","22,440.02 GBP",,
381903,Milk Chocolate Digestives,14/05/2022,"46,630","22,846.81 GBP","19,039.01 GBP",,
381903,Milk Chocolate Digestives,15/05/2022,"42,943","21,040.88 GBP","17,534.07 GBP",,
381903,Milk Chocolate Digestives,16/05/2022,"55,680","27,280.96 GBP","22,734.13 GBP",,
381903,Milk Chocolate Digestives,17/05/2022,"43,493","21,309.88 GBP","17,758.23 GBP",,
381903,Milk Chocolate Digestives,18/05/2022,"43,442","21,284.39 GBP","17,736.99 GBP",,
381903,Milk Chocolate Digestives,19/05/2022,"50,337","24,662.36 GBP","20,551.97 GBP",,
381903,Milk Chocolate Digestives,20/05/2022,"65,707","32,194.18 GBP","26,828.48 GBP",,
381903,Milk Chocolate Digestives,21/05/2022,"62,690","30,716.38 GBP","25,596.98 GBP",,
381903,Milk Chocolate Digestives,22/05/2022,"41,546","20,356.63 GBP","16,963.86 GBP",,
381903,Milk Chocolate Digestives,23/05/2022,"58,173","28,502.21 GBP","23,751.84 GBP",,
381903,Milk Chocolate Digestives,24/05/2022,"49,903","24,450.04 GBP","20,375.03 GBP",,
381903,Milk Chocolate Digestives,25/05/2022,"49,541","24,272.69 GBP","20,227.24 GBP",,
381903,Milk Chocolate Digestives,26/05/2022,"55,314","27,101.53 GBP","22,584.61 GBP",,
381903,Milk Chocolate Digestives,27/05/2022,"61,661","30,211.72 GBP","25,176.43 GBP",,
381903,Milk Chocolate Digestives,28/05/2022,"62,667","30,704.36 GBP","25,586.97 GBP",,
381903,Milk Chocolate Digestives,29/05/2022,"43,753","21,438.26 GBP","17,865.22 GBP",,
381903,Milk Chocolate Digestives,30/05/2022,"57,002","27,928.30 GBP","23,273.58 GBP",,
381903,Milk Chocolate Digestives,31/05/2022,"49,833","24,289.77 GBP","20,241.47 GBP",,
381903,Milk Chocolate Digestives,01/06/2022,"46,491","22,777.29 GBP","18,981.07 GBP",,
381903,Milk Chocolate Digestives,02/06/2022,"43,829","21,474.04 GBP","17,895.03 GBP",,
381903,Milk Chocolate Digestives,03/06/2022,"38,449","18,838.11 GBP","15,698.43 GBP",,
381903,Milk Chocolate Digestives,04/06/2022,"37,163","18,207.21 GBP","15,172.67 GBP",,
381903,Milk Chocolate Digestives,05/06/2022,"32,381","15,759.87 GBP","13,133.22 GBP",,
381903,Milk Chocolate Digestives,06/06/2022,"50,286","24,636.96 GBP","20,530.80 GBP",,
381903,Milk Chocolate Digestives,07/06/2022,"39,863","19,530.15 GBP","16,275.13 GBP",,
381903,Milk Chocolate Digestives,08/06/2022,"42,068","20,611.39 GBP","17,176.16 GBP",,
381903,Milk Chocolate Digestives,09/06/2022,"46,112","22,592.55 GBP","18,827.13 GBP",,
381903,Milk Chocolate Digestives,10/06/2022,"53,256","26,091.92 GBP","21,743.27 GBP",,
381903,Milk Chocolate Digestives,11/06/2022,"62,486","30,618.60 GBP","25,515.50 GBP",,
381903,Milk Chocolate Digestives,12/06/2022,"45,038","24,767.88 GBP","20,639.90 GBP",,
381903,Milk Chocolate Digestives,13/06/2022,"54,914","30,198.58 GBP","25,165.48 GBP",,
381903,Milk Chocolate Digestives,14/06/2022,"45,096","24,798.18 GBP","20,665.15 GBP",,
381903,Milk Chocolate Digestives,15/06/2022,"42,643","23,450.08 GBP","19,541.73 GBP",,
381903,Milk Chocolate Digestives,16/06/2022,"48,322","26,574.84 GBP","22,145.70 GBP",,
381903,Milk Chocolate Digestives,17/06/2022,"52,207","28,711.80 GBP","23,926.50 GBP",,
381903,Milk Chocolate Digestives,18/06/2022,"62,054","34,126.42 GBP","28,438.68 GBP",,
381903,Milk Chocolate Digestives,19/06/2022,"37,416","20,578.80 GBP","17,149.00 GBP",,
381903,Milk Chocolate Digestives,20/06/2022,"51,295","28,211.30 GBP","23,509.42 GBP",,
381903,Milk Chocolate Digestives,21/06/2022,"41,541","22,846.29 GBP","19,038.57 GBP",,
381903,Milk Chocolate Digestives,22/06/2022,"37,247","20,485.79 GBP","17,071.49 GBP",,
381903,Milk Chocolate Digestives,23/06/2022,"44,885","24,686.01 GBP","20,571.68 GBP",,
381903,Milk Chocolate Digestives,24/06/2022,"60,734","33,402.69 GBP","27,835.58 GBP",,
381903,Milk Chocolate Digestives,25/06/2022,"58,280","32,053.76 GBP","26,711.47 GBP",,
381903,Milk Chocolate Digestives,26/06/2022,"40,289","22,158.78 GBP","18,465.65 GBP",,
381903,Milk Chocolate Digestives,27/06/2022,"51,242","28,183.18 GBP","23,485.98 GBP",,
381903,Milk Chocolate Digestives,28/06/2022,"42,922","23,606.87 GBP","19,672.39 GBP",,
381903,Milk Chocolate Digestives,29/06/2022,"39,315","21,623.23 GBP","18,019.36 GBP",,
381903,Milk Chocolate Digestives,30/06/2022,"47,289","26,008.69 GBP","21,673.91 GBP",,
381903,Milk Chocolate Digestives,01/07/2022,"55,130","30,319.33 GBP","25,266.11 GBP",,
381903,Milk Chocolate Digestives,02/07/2022,"55,657","30,610.41 GBP","25,508.68 GBP",,
381903,Milk Chocolate Digestives,03/07/2022,"41,316","22,723.29 GBP","18,936.08 GBP",,
381903,Milk Chocolate Digestives,04/07/2022,"50,914","28,002.53 GBP","23,335.44 GBP",,
381903,Milk Chocolate Digestives,05/07/2022,"41,521","22,836.10 GBP","19,030.08 GBP",,
381903,Milk Chocolate Digestives,06/07/2022,"42,686","23,476.82 GBP","19,564.02 GBP",,
381903,Milk Chocolate Digestives,07/07/2022,"51,555","28,354.16 GBP","23,628.47 GBP",,
381903,Milk Chocolate Digestives,08/07/2022,"58,161","31,988.02 GBP","26,656.68 GBP",,
381903,Milk Chocolate Digestives,09/07/2022,"54,866","30,175.16 GBP","25,145.97 GBP",,
381903,Milk Chocolate Digestives,10/07/2022,"36,115","19,863.23 GBP","16,552.69 GBP",,
381903,Milk Chocolate Digestives,11/07/2022,"50,665","27,864.61 GBP","23,220.51 GBP",,
381903,Milk Chocolate Digestives,12/07/2022,"43,689","24,026.35 GBP","20,021.96 GBP",,
381903,Milk Chocolate Digestives,13/07/2022,"38,630","21,246.23 GBP","17,705.19 GBP",,
381903,Milk Chocolate Digestives,14/07/2022,"50,215","27,617.81 GBP","23,014.84 GBP",,
381903,Milk Chocolate Digestives,15/07/2022,"65,880","36,232.98 GBP","30,194.15 GBP",,
381903,Milk Chocolate Digestives,16/07/2022,"54,833","30,157.84 GBP","25,131.53 GBP",,
381903,Milk Chocolate Digestives,17/07/2022,"37,036","20,369.80 GBP","16,974.83 GBP",,
381903,Milk Chocolate Digestives,18/07/2022,"45,656","25,110.57 GBP","20,925.47 GBP",,
381903,Milk Chocolate Digestives,19/07/2022,"33,606","18,483.13 GBP","15,402.61 GBP",,
381903,Milk Chocolate Digestives,20/07/2022,"45,495","25,022.13 GBP","20,851.77 GBP",,
381903,Milk Chocolate Digestives,21/07/2022,"51,923","28,557.53 GBP","23,797.94 GBP",,
381903,Milk Chocolate Digestives,22/07/2022,"65,316","35,923.74 GBP","29,936.45 GBP",,
381903,Milk Chocolate Digestives,23/07/2022,"60,414","33,227.36 GBP","27,689.47 GBP",,
381903,Milk Chocolate Digestives,24/07/2022,"43,699","24,034.42 GBP","20,028.68 GBP",,
381903,Milk Chocolate Digestives,25/07/2022,"63,344","34,839.03 GBP","29,032.53 GBP",,
381903,Milk Chocolate Digestives,26/07/2022,"53,916","29,652.84 GBP","24,710.70 GBP",,
381903,Milk Chocolate Digestives,27/07/2022,"46,173","25,394.81 GBP","21,162.34 GBP",,
381903,Milk Chocolate Digestives,28/07/2022,"59,642","32,802.93 GBP","27,335.78 GBP",,
381903,Milk Chocolate Digestives,29/07/2022,"66,511","36,580.74 GBP","30,483.95 GBP",,
381903,Milk Chocolate Digestives,30/07/2022,"66,060","36,332.58 GBP","30,277.15 GBP",,
381903,Milk Chocolate Digestives,31/07/2022,"45,701","25,135.38 GBP","20,946.15 GBP",,
381903,Milk Chocolate Digestives,01/08/2022,"61,623","33,892.50 GBP","28,243.75 GBP",,
381903,Milk Chocolate Digestives,02/08/2022,"52,528","28,890.28 GBP","24,075.23 GBP",,
381903,Milk Chocolate Digestives,03/08/2022,"46,654","25,659.12 GBP","21,382.60 GBP",,
381903,Milk Chocolate Digestives,04/08/2022,"53,531","29,440.95 GBP","24,534.12 GBP",,
381903,Milk Chocolate Digestives,05/08/2022,"66,376","36,506.15 GBP","30,421.79 GBP",,
381903,Milk Chocolate Digestives,06/08/2022,"59,728","32,850.06 GBP","27,375.05 GBP",,
381903,Milk Chocolate Digestives,07/08/2022,"44,004","24,202.20 GBP","20,168.50 GBP",,
381903,Milk Chocolate Digestives,08/08/2022,"59,800","32,889.29 GBP","27,407.74 GBP",,
381903,Milk Chocolate Digestives,09/08/2022,"47,215","25,967.91 GBP","21,639.92 GBP",,
381903,Milk Chocolate Digestives,10/08/2022,"41,639","22,901.45 GBP","19,084.54 GBP",,
